--------------------------------------------------decode-------------------------------------------------- - 2025-03-27 08:21:48,012 - log
--------------------------------------------------decode-------------------------------------------------- - 2025-03-27 08:23:31,208 - log
READING INPUTS... - 2025-03-27 08:35:32,007 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:35:32,007 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:35:32,007 - log
READING INPUTS... - 2025-03-27 08:36:32,526 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:36:32,526 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:36:32,526 - log
READING INPUTS... - 2025-03-27 08:40:07,376 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:40:07,376 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:40:07,376 - log
READING INPUTS... - 2025-03-27 08:42:24,023 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:42:24,024 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:42:24,024 - log
READING INPUTS... - 2025-03-27 08:44:12,730 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:44:12,730 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:44:12,730 - log
READING INPUTS... - 2025-03-27 08:44:40,904 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:44:40,904 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:44:40,904 - log
READING INPUTS... - 2025-03-27 08:45:54,470 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:45:54,471 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:45:54,471 - log
READING INPUTS... - 2025-03-27 08:46:35,168 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:46:35,168 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:46:35,168 - log
READING INPUTS... - 2025-03-27 08:47:12,831 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:47:12,831 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:47:12,831 - log
READING INPUTS... - 2025-03-27 08:48:09,015 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:48:09,015 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:48:09,015 - log
READING INPUTS... - 2025-03-27 08:48:50,752 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:48:50,752 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:48:50,752 - log
READING INPUTS... - 2025-03-27 08:49:05,715 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:49:05,715 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:49:05,715 - log
READING INPUTS... - 2025-03-27 08:49:39,517 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:49:39,518 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:49:39,518 - log
READING INPUTS... - 2025-03-27 08:51:14,281 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:51:14,281 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:51:14,281 - log
READING INPUTS... - 2025-03-27 08:52:03,137 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:52:03,137 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:52:03,137 - log
READING INPUTS... - 2025-03-27 08:53:25,520 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:53:25,520 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:53:25,520 - log
READING INPUTS... - 2025-03-27 08:54:53,897 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:54:53,897 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:54:53,897 - log
READING INPUTS... - 2025-03-27 08:55:57,909 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:55:57,909 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:55:57,910 - log
READING INPUTS... - 2025-03-27 08:57:18,404 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:57:18,404 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:57:18,404 - log
READING INPUTS... - 2025-03-27 08:59:40,886 - log
FINISHING TO READ INPUTS... - 2025-03-27 08:59:40,886 - log
STARTING TO PARSE INPUTS... - 2025-03-27 08:59:40,886 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 08:59:40,927 - log
STARTING EVALUATION... - 2025-03-27 08:59:40,928 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 08:59:40,928 - log
READING INPUTS... - 2025-03-27 09:00:32,897 - log
FINISHING TO READ INPUTS... - 2025-03-27 09:00:32,897 - log
STARTING TO PARSE INPUTS... - 2025-03-27 09:00:32,897 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 09:00:32,931 - log
STARTING EVALUATION... - 2025-03-27 09:00:32,931 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 09:00:32,931 - log
READING INPUTS... - 2025-03-27 09:01:40,407 - log
FINISHING TO READ INPUTS... - 2025-03-27 09:01:40,407 - log
STARTING TO PARSE INPUTS... - 2025-03-27 09:01:40,407 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 09:01:40,436 - log
STARTING EVALUATION... - 2025-03-27 09:01:40,436 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 09:01:40,436 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 09:01:40,486 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 09:01:40,492 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 09:01:45,171 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 09:01:45,171 - log
STARTING TO COMPUTE TER... - 2025-03-27 09:01:45,172 - log
FINISHING TO COMPUTE TER... - 2025-03-27 09:01:45,346 - log
FINISHING EVALUATION... - 2025-03-27 09:01:45,346 - log
PRINTING RESULTS... - 2025-03-27 09:01:45,346 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 09:01:45,347 - log
--------------------------------------------------decode-------------------------------------------------- - 2025-03-27 09:04:46,457 - log
READING INPUTS... - 2025-03-27 09:04:50,029 - log
FINISHING TO READ INPUTS... - 2025-03-27 09:04:50,030 - log
STARTING TO PARSE INPUTS... - 2025-03-27 09:04:50,030 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 09:04:50,059 - log
STARTING EVALUATION... - 2025-03-27 09:04:50,059 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 09:04:50,059 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 09:04:50,115 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 09:04:50,121 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 09:04:55,002 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 09:04:55,002 - log
STARTING TO COMPUTE TER... - 2025-03-27 09:04:55,002 - log
FINISHING TO COMPUTE TER... - 2025-03-27 09:04:55,172 - log
FINISHING EVALUATION... - 2025-03-27 09:04:55,172 - log
PRINTING RESULTS... - 2025-03-27 09:04:55,172 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 09:04:55,174 - log
READING INPUTS... - 2025-03-27 09:07:49,837 - log
FINISHING TO READ INPUTS... - 2025-03-27 09:07:49,837 - log
STARTING TO PARSE INPUTS... - 2025-03-27 09:07:49,837 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 09:07:49,865 - log
STARTING EVALUATION... - 2025-03-27 09:07:49,865 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 09:07:49,865 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 09:07:49,911 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 09:07:49,917 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 09:07:53,342 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 09:07:53,342 - log
STARTING TO COMPUTE TER... - 2025-03-27 09:07:53,343 - log
FINISHING TO COMPUTE TER... - 2025-03-27 09:07:53,506 - log
FINISHING EVALUATION... - 2025-03-27 09:07:53,506 - log
PRINTING RESULTS... - 2025-03-27 09:07:53,506 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 09:07:53,507 - log
--------------------------------------------------decode-------------------------------------------------- - 2025-03-27 09:25:41,034 - log
READING INPUTS... - 2025-03-27 09:25:44,921 - log
FINISHING TO READ INPUTS... - 2025-03-27 09:25:44,922 - log
STARTING TO PARSE INPUTS... - 2025-03-27 09:25:44,922 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 09:25:44,953 - log
STARTING EVALUATION... - 2025-03-27 09:25:44,953 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 09:25:44,953 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 09:25:45,003 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 09:25:45,009 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 09:25:48,710 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 09:25:48,711 - log
STARTING TO COMPUTE TER... - 2025-03-27 09:25:48,711 - log
FINISHING TO COMPUTE TER... - 2025-03-27 09:25:48,894 - log
FINISHING EVALUATION... - 2025-03-27 09:25:48,894 - log
PRINTING RESULTS... - 2025-03-27 09:25:48,894 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 09:25:48,895 - log
--------------------------------------------------decode-------------------------------------------------- - 2025-03-27 11:35:17,242 - log
READING INPUTS... - 2025-03-27 11:35:21,084 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:35:21,084 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:35:21,084 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:35:21,115 - log
STARTING EVALUATION... - 2025-03-27 11:35:21,115 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:35:21,115 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:35:21,168 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:35:21,174 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 11:35:24,711 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:35:24,711 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:35:24,711 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:35:24,885 - log
FINISHING EVALUATION... - 2025-03-27 11:35:24,885 - log
PRINTING RESULTS... - 2025-03-27 11:35:24,885 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 11:35:24,886 - log
READING INPUTS... - 2025-03-27 11:38:04,501 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:38:04,502 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:38:04,502 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:38:04,530 - log
STARTING EVALUATION... - 2025-03-27 11:38:04,530 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:38:04,530 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:38:04,577 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:38:04,583 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 11:38:08,075 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:38:08,075 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:38:08,075 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:38:08,243 - log
FINISHING EVALUATION... - 2025-03-27 11:38:08,243 - log
PRINTING RESULTS... - 2025-03-27 11:38:08,243 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 11:38:08,244 - log
READING INPUTS... - 2025-03-27 11:38:27,129 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:38:27,129 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:38:27,129 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:38:27,158 - log
STARTING EVALUATION... - 2025-03-27 11:38:27,158 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:38:27,158 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:38:27,205 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:38:27,211 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 11:38:30,706 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:38:30,706 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:38:30,706 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:38:30,879 - log
FINISHING EVALUATION... - 2025-03-27 11:38:30,879 - log
PRINTING RESULTS... - 2025-03-27 11:38:30,879 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 11:38:30,881 - log
READING INPUTS... - 2025-03-27 11:44:36,174 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:44:36,175 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:44:36,175 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:44:36,204 - log
STARTING EVALUATION... - 2025-03-27 11:44:36,204 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:44:36,204 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:44:36,249 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:44:36,255 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 11:44:39,817 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:44:39,818 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:44:39,818 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:44:39,998 - log
FINISHING EVALUATION... - 2025-03-27 11:44:39,998 - log
PRINTING RESULTS... - 2025-03-27 11:44:39,998 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.76 - 2025-03-27 11:44:39,999 - log
READING INPUTS... - 2025-03-27 11:46:19,745 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:46:19,745 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:46:19,745 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:46:19,786 - log
STARTING EVALUATION... - 2025-03-27 11:46:19,786 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:46:19,786 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:46:19,845 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:46:19,853 - log
ERROR ON COMPUTING METEOR. MAKE SURE YOU HAVE JAVA INSTALLED GLOBALLY ON YOUR MACHINE. - 2025-03-27 11:46:23,467 - root
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:46:23,467 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:46:23,467 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:46:23,637 - log
FINISHING EVALUATION... - 2025-03-27 11:46:23,637 - log
PRINTING RESULTS... - 2025-03-27 11:46:23,637 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05        -1   0.75 - 2025-03-27 11:46:23,638 - log
READING INPUTS... - 2025-03-27 11:50:14,713 - log
FINISHING TO READ INPUTS... - 2025-03-27 11:50:14,713 - log
STARTING TO PARSE INPUTS... - 2025-03-27 11:50:14,713 - log
FINISHING TO PARSE INPUTS... - 2025-03-27 11:50:14,742 - log
STARTING EVALUATION... - 2025-03-27 11:50:14,742 - log
STARTING TO COMPUTE BLEU... - 2025-03-27 11:50:14,742 - log
FINISHING TO COMPUTE BLEU... - 2025-03-27 11:50:14,785 - log
STARTING TO COMPUTE METEOR... - 2025-03-27 11:50:14,791 - log
FINISHING TO COMPUTE METEOR... - 2025-03-27 11:50:18,391 - log
STARTING TO COMPUTE TER... - 2025-03-27 11:50:18,392 - log
FINISHING TO COMPUTE TER... - 2025-03-27 11:50:18,559 - log
FINISHING EVALUATION... - 2025-03-27 11:50:18,559 - log
PRINTING RESULTS... - 2025-03-27 11:50:18,559 - log
  BLEU    BLEU NLTK    METEOR    TER
------  -----------  --------  -----
  5.12         0.05      0.13   0.75 - 2025-03-27 11:50:18,560 - log
